dependabot[bot], 21   
nbianca, 20   
udan11, 14   
pmusaraj, 12   
jjaffeux, 11   
eviltrout, 11   
davidtaylorhq, 11   
martin-brennan, 10   
romanrizzi,  9   
CvX,  8   
lis2,  7   
SamSaffron,  6   
danielwaterworth,  6   
xfalcox,  5   
techAPJ,  5   
OsamaSayegh,  5   
awesomerobot,  5   
tgxworld,  4   
nlalonde,  4   
oblakeerickson,  3   
jbrw,  3   
gschlager,  3   
discourse-translator-bot,  3   
vinothkannans,  2   
markvanlan,  2   
lhkjacky,  2   
jordanvidrine,  2   
itle": "UX: login; smaller titles, more consistent spacing, other fixes,  1   
itle": "UX: Fix broken styling on login modal when local login is disabled.,  1   
itle": "FIX: Allow group invites when local login is disabled.,  1   
scossar,  1   
nachocab,  1   
jimlinntu,  1   
coding-horror,  1   
ByteHamster,  1   
Ahmedgagan,  1   
